fixture_id,theme_id,expected,rank,semantic_score,lexical_score,combined_score,coverage,delta_from_best,ratio_to_best,segment_support_count,segment_count
religion_holiday,it,0,8,0.406691,0.000000,0.305018,0.000000,0.279975,0.521405,0,1
religion_holiday,science,0,9,0.395254,0.000000,0.296440,0.000000,0.288553,0.506741,0,1
religion_holiday,law,0,10,0.385606,0.000000,0.289204,0.000000,0.295789,0.494372,0,1
politics_election,politics,1,1,0.688550,0.333333,0.599746,1.000000,0.000000,1.000000,1,1
politics_election,science,0,2,0.485415,0.166667,0.405728,1.000000,0.194018,0.676500,1,1
politics_election,sports,0,3,0.497363,0.000000,0.373022,1.000000,0.226724,0.621967,1,1
politics_election,medicine,0,4,0.469505,0.000000,0.352129,1.000000,0.247617,0.587130,1,1
politics_election,it,0,5,0.440829,0.000000,0.330622,1.000000,0.269124,0.551270,1,1
politics_election,law,0,6,0.439694,0.000000,0.329770,1.000000,0.269976,0.549849,1,1
politics_election,military,0,7,0.430814,0.000000,0.323110,1.000000,0.276636,0.538745,1,1
politics_election,economics,0,8,0.425607,0.000000,0.319205,1.000000,0.280541,0.532234,1,1
politics_election,everyday,0,9,0.381061,0.000000,0.285796,0.000000,0.313950,0.476528,0,1
politics_election,religion,0,10,0.376344,0.000000,0.282258,0.000000,0.317488,0.470629,0,1
